Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,9.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,11.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,12.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  12:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,11.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,9.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,9.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,9.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,10.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,11.0,2976386.6709981688,0.0,4988408.925280848,0.0,26497912.703742595,0.0 
 01/02  08:00:00,11.0,22686734.870662758,0.0,17152927.277467956,0.0,53199353.93871087,0.0 
 01/02  09:00:00,12.166666666666666,6509004.018473989,0.0,2609987.826358971,0.0,9398137.613846342,0.0 
 01/02  10:00:00,13.0,3893790.5110502757,0.0,2438503.370013772,0.0,2984695.431603907,0.0 
 01/02  11:00:00,14.166666666666666,3690173.661181328,3284844.1979158718,2604324.927838287,2410962.833992609,2579826.8738216746,2435401.317181951 
 01/02  12:00:00,14.416666666666666,4240503.9989182199,4265671.901422419,3241685.9997054536,3218723.0198239705,2937022.2960653656,3042367.9667018207 
 01/02  13:00:00,14.0,4430519.23893671,0.0,3131903.5646530475,0.0,3104760.96851743,0.0 
 01/02  14:00:00,14.0,4803808.014566232,0.0,3468232.2644139139,0.0,3212839.9322087636,0.0 
 01/02  15:00:00,13.416666666666666,4528518.205717153,0.0,3205672.2663452706,0.0,3177355.134423575,0.0 
 01/02  16:00:00,13.0,4586019.5811100159,0.0,3270867.250600791,0.0,3012710.636048468,0.0 
 01/02  17:00:00,11.833333333333334,5217988.226698533,0.0,2702617.7573381729,0.0,2588757.0686278964,0.0 
 01/02  18:00:00,9.833333333333334,17550671.11637106,0.0,7124434.582905898,0.0,6973340.831494441,0.0 
 01/02  19:00:00,9.0,9150077.509426602,628917.8726166667,10270307.24139159,0.0,12262497.261367152,0.0 
