Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,46359074.93593144,46359074.93593143,6791184.0 
 01/01  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  06:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  07:00:00,62835664.11785701,62835664.11785701,6791184.0 
 01/01  08:00:00,46641429.03377286,46641429.03377286,6791184.0 
 01/01  09:00:00,46320927.947663698,46320927.947663698,6791184.0 
 01/01  10:00:00,46288812.51597283,46288812.51597283,6791184.0 
 01/01  11:00:00,46333177.971896018,46333177.97189601,6791184.0 
 01/01  12:00:00,46294868.38195652,46294868.38195651,6791184.0 
 01/01  13:00:00,46288812.51597283,46288812.51597283,6791184.0 
 01/01  14:00:00,46288812.51597283,46288812.51597283,6791184.0 
 01/01  15:00:00,46297049.95146436,46297049.951464358,6791184.0 
 01/01  16:00:00,46363740.30021446,46363740.30021446,6791184.0 
 01/01  17:00:00,53321942.22249201,53321942.22249201,6791184.0 
 01/01  18:00:00,66276703.53612528,66276703.53612528,6791184.0 
 01/01  19:00:00,57105773.81922845,57105773.81922844,6791184.0 
 01/01  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  24:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/02  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  07:00:00,107336372.35303825,107336372.35303822,17109407.502167286 
 01/02  08:00:00,210245456.39739327,210245456.39739324,16059408.3802265 
 01/02  09:00:00,301198274.46853849,301198274.46853849,8054217.96600855 
 01/02  10:00:00,261839609.60718895,261839609.60718889,6791184.0 
 01/02  11:00:00,256731456.1134196,256731456.11341957,6791184.0 
 01/02  12:00:00,265925907.6041239,265925907.60412384,11367856.81841549 
 01/02  13:00:00,266207107.51833494,266207107.51833494,25841427.642388759 
 01/02  14:00:00,269810841.6708448,269810841.67084476,25620626.08811361 
 01/02  15:00:00,256470156.89095358,256470156.89095355,15518442.471452348 
 01/02  16:00:00,257272412.20662756,257272412.20662756,15487303.856064745 
 01/02  17:00:00,285412123.97751578,285412123.9775157,20387986.32259753 
 01/02  18:00:00,236666333.32492707,236666333.32492704,22427826.026857299 
 01/02  19:00:00,130286121.22437144,130286121.22437139,38635512.15467682 
 01/02  20:00:00,115654864.21626093,115654864.2162609,50440982.65429578 
 01/02  21:00:00,110544572.32681556,110544572.32681553,68328764.01700552 
 01/02  22:00:00,110221950.26905753,110221950.26905751,67469267.43550906 
 01/02  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/02  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/03  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 01/03  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  07:00:00,112410265.69427006,112410265.69427005,93420153.52731341 
 01/03  08:00:00,200099640.41233123,200099640.4123312,82124585.88862346 
 01/03  09:00:00,301046106.72428056,301046106.72428056,29989751.966748734 
 01/03  10:00:00,262883640.34982387,262883640.34982387,7475642.855459977 
