Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,9.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,11.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,12.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  12:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,11.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,9.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,9.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,9.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,10.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,11.0,5605541.920399778,0.0,8090932.904016447,0.0,29066779.35949611,0.0 
 01/02  08:00:00,11.0,24235621.518814744,0.0,20728016.38458766,0.0,56182462.10687921,0.0 
 01/02  09:00:00,12.166666666666666,6587906.308678601,0.0,3699994.01413572,0.0,11686281.874005847,0.0 
 01/02  10:00:00,13.0,3699996.6420578716,0.0,2211670.6703003325,0.0,3186101.69603708,0.0 
 01/02  11:00:00,14.166666666666666,3478679.350161001,3082085.617904583,2370358.6346702978,2193723.054110284,2362654.9441695187,2238428.352947103 
 01/02  12:00:00,14.416666666666666,4006086.4377712479,4011443.8396811538,3000718.16433591,2949007.931441762,2703780.9304294285,2799896.8122159398 
 01/02  13:00:00,14.0,4188715.071310746,0.0,2894810.3132013517,0.0,2863218.9518099834,0.0 
 01/02  14:00:00,14.0,4494168.83164466,0.0,3228680.346825264,0.0,2969658.310258251,0.0 
 01/02  15:00:00,13.416666666666666,4192134.863283228,0.0,2940795.8782492948,0.0,2914045.2055167874,0.0 
 01/02  16:00:00,13.0,4213063.88276743,0.0,2984511.632072923,0.0,2740128.0341265585,0.0 
 01/02  17:00:00,11.833333333333334,4836975.830565043,0.0,3727982.3891500488,0.0,3228025.675211728,0.0 
 01/02  18:00:00,9.833333333333334,16540863.176755256,0.0,11138938.098102143,0.0,10739530.117316459,0.0 
 01/02  19:00:00,9.0,11939365.611187352,428612.16494239846,14210708.03268039,0.0,16966165.213930753,0.0 
