Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,46084989.846407588,46084989.84640758,6791184.0 
 01/01  02:00:00,46085139.19145743,46085139.19145743,6791184.0 
 01/01  03:00:00,46085139.19145743,46085139.19145743,6791184.0 
 01/01  04:00:00,46085139.19145743,46085139.19145743,6791184.0 
 01/01  05:00:00,46085139.19145743,46085139.19145743,6791184.0 
 01/01  06:00:00,46085139.19145743,46085139.19145743,6791184.0 
 01/01  07:00:00,60868338.13928088,60868338.139280889,6791184.0 
 01/01  08:00:00,44735376.00702862,44735376.00702862,6791184.0 
 01/01  09:00:00,44549279.07619606,44549279.07619606,6791184.0 
 01/01  10:00:00,44530631.45924014,44530631.45924014,6791184.0 
 01/01  11:00:00,44556391.98529346,44556391.98529346,6791184.0 
 01/01  12:00:00,44534147.75893186,44534147.75893186,6791184.0 
 01/01  13:00:00,44530631.45924014,44530631.45924014,6791184.0 
 01/01  14:00:00,44530631.45924014,44530631.45924014,6791184.0 
 01/01  15:00:00,44535414.47618249,44535414.47618249,6791184.0 
 01/01  16:00:00,44574137.81574895,44574137.81574895,6791184.0 
 01/01  17:00:00,51249525.1003658,51249525.1003658,6791184.0 
 01/01  18:00:00,64041927.83819962,64041927.83819963,6791184.0 
 01/01  19:00:00,56445378.60166331,56445378.60166331,6791184.0 
 01/01  20:00:00,48630519.19145743,48630519.19145743,6791184.0 
 01/01  21:00:00,48630519.19145743,48630519.19145743,6791184.0 
 01/01  22:00:00,48630519.19145743,48630519.19145743,6791184.0 
 01/01  23:00:00,48630519.19145743,48630519.19145743,6791184.0 
 01/01  24:00:00,48630519.19145743,48630519.19145743,6791184.0 
 01/02  01:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/02  02:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/02  03:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/02  04:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/02  05:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/02  06:00:00,58162225.08261116,58162225.08261116,6791184.0 
 01/02  07:00:00,103661487.0140109,103661487.01401092,27336793.05257218 
 01/02  08:00:00,198436543.90928,198436543.90927995,26140608.513066766 
 01/02  09:00:00,269716090.0218896,269716090.02188959,11559340.925527458 
 01/02  10:00:00,229941443.6997522,229941443.69975216,6791184.0 
 01/02  11:00:00,224216512.48019288,224216512.48019288,6791184.0 
 01/02  12:00:00,233322085.9275245,233322085.9275245,11367859.290392658 
 01/02  13:00:00,233814416.90988625,233814416.90988619,25841431.67267014 
 01/02  14:00:00,237339511.76714225,237339511.76714225,25623536.2201827 
 01/02  15:00:00,223926655.51935659,223926655.51935656,15518542.270526534 
 01/02  16:00:00,224307562.14306764,224307562.1430676,15487418.364770638 
 01/02  17:00:00,247547401.93713648,247547401.93713645,23078671.708863874 
 01/02  18:00:00,212873734.60774724,212873734.60774724,32561070.957424188 
 01/02  19:00:00,117760272.14088488,117760272.14088488,51587515.00014683 
 01/02  20:00:00,103712515.86509384,103712515.86509386,63122460.14040081 
 01/02  21:00:00,104140799.97535947,104140799.9753595,80696367.30707088 
 01/02  22:00:00,104062739.71797052,104062739.7179705,79598545.10384992 
 01/02  23:00:00,73301957.30496589,73301957.3049659,6791184.0 
 01/02  24:00:00,70207061.25759147,70207061.25759147,6791184.0 
 01/03  01:00:00,57335709.94418401,57335709.94418401,6791184.0 
 01/03  02:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/03  03:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/03  04:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/03  05:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/03  06:00:00,58162225.08261116,58162225.08261116,6791184.0 
 01/03  07:00:00,111440351.46111113,111440351.46111113,106514079.06273963 
 01/03  08:00:00,192255490.9509342,192255490.95093418,93932981.5652596 
 01/03  09:00:00,270536173.6684208,270536173.6684208,38096239.26506747 
 01/03  10:00:00,230875795.28863917,230875795.28863908,10215210.377074596 
 01/03  11:00:00,225345622.86524243,225345622.86524243,6791184.0 
 01/03  12:00:00,249279674.71444763,249279674.71444763,15947544.671852138 
 01/03  13:00:00,261898310.96610699,261898310.9661069,25835658.755591759 
 01/03  14:00:00,264546317.81072385,264546317.81072385,25620776.56623476 
 01/03  15:00:00,248746219.41710837,248746219.4171083,15516039.608108614 
 01/03  16:00:00,248262783.9022214,248262783.90222139,15483286.557977722 
 01/03  17:00:00,254573604.14967869,254573604.14967866,20384692.649381844 
 01/03  18:00:00,205006351.09688346,205006351.09688337,11044753.617433086 
 01/03  19:00:00,114628121.57777454,114628121.57777454,14936404.557526088 
 01/03  20:00:00,98265498.92110372,98265498.92110372,12607996.399831163 
 01/03  21:00:00,93165322.14128913,93165322.14128913,24227883.02302473 
 01/03  22:00:00,91108729.15229708,91108729.1522971,51563867.84754646 
 01/03  23:00:00,73301957.30496589,73301957.3049659,6791184.0 
 01/03  24:00:00,70207061.25759147,70207061.25759147,6791184.0 
 01/04  01:00:00,57335709.94418401,57335709.94418401,6791184.0 
 01/04  02:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/04  03:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/04  04:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/04  05:00:00,57335738.170472148,57335738.170472148,6791184.0 
 01/04  06:00:00,58162225.08261116,58162225.08261116,6791184.0 
 01/04  07:00:00,93301260.46767016,93301260.46767016,69626171.549091 
 01/04  08:00:00,150480253.6557601,150480253.65576015,33291792.58811728 
 01/04  09:00:00,263576619.00956888,263576619.00956888,7135841.438402628 
 01/04  10:00:00,241886821.81822709,241886821.81822706,6791184.0 
 01/04  11:00:00,246841786.28895546,246841786.28895546,6791184.0 
 01/04  12:00:00,263330315.7947451,263330315.79474507,15948496.101085209 
 01/04  13:00:00,266839809.49111764,266839809.49111764,25817598.094034085 
 01/04  14:00:00,277714692.52951297,277714692.52951297,25619096.75301947 
 01/04  15:00:00,263231730.94347496,263231730.9434749,15520206.85974524 
 01/04  16:00:00,258020747.61880989,258020747.6188098,15488995.811492909 
 01/04  17:00:00,265867276.23304302,265867276.233043,20384251.699550567 
 01/04  18:00:00,210649283.6764702,210649283.67647017,11041848.88807101 
