Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,9.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,11.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,12.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  12:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,11.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,9.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,9.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,9.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,10.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,11.0,3506648.3233657248,0.0,3018725.6786584809,0.0,22270633.164012884,0.0 
 01/02  08:00:00,11.0,24891694.785136329,0.0,14139302.199829149,0.0,48774832.50804143,0.0 
 01/02  09:00:00,12.166666666666666,6613890.229018563,0.0,3018725.678658477,0.0,6725427.671105627,0.0 
 01/02  10:00:00,13.0,4490327.381987048,0.0,3036779.7685006808,0.0,3019427.314855267,0.0 
 01/02  11:00:00,14.166666666666666,4353992.574139448,3894388.088062171,3222428.5777678729,2980688.5126796665,3156879.8731573859,2947625.81399341 
 01/02  12:00:00,14.416666666666666,5010375.410082923,5058096.528793894,3888881.1196010487,3933629.960218316,3555568.9851346008,3688936.724521409 
 01/02  13:00:00,14.0,5233779.290529084,0.0,3770119.5661591447,0.0,3738169.5398832636,0.0 
 01/02  14:00:00,14.0,5773478.76745072,0.0,4119380.598686278,0.0,3850745.702034485,0.0 
 01/02  15:00:00,13.416666666666666,5565341.177901501,0.0,3935491.967910143,0.0,3877757.0195494296,0.0 
 01/02  16:00:00,13.0,5735881.511991019,0.0,4044660.6467627317,0.0,3750874.164781104,0.0 
 01/02  17:00:00,11.833333333333334,6397258.084475549,0.0,3511924.2246855597,0.0,3268353.8739489216,0.0 
 01/02  18:00:00,9.833333333333334,19108779.04909859,0.0,3243197.7438677058,0.0,3461055.2648957485,0.0 
 01/02  19:00:00,9.0,3506648.3233657146,0.0,4663671.870023647,0.0,6405161.321899304,0.0 
