Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,46359074.93593144,46359074.93593143,6791184.0 
 01/01  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  06:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  07:00:00,67999793.73504217,67999793.73504217,6791184.0 
 01/01  08:00:00,51993009.67500861,51993009.67500862,6791184.0 
 01/01  09:00:00,51295144.73008116,51295144.73008116,6791184.0 
 01/01  10:00:00,51225215.94133289,51225215.94133289,6791184.0 
 01/01  11:00:00,51321818.05309343,51321818.05309342,6791184.0 
 01/01  12:00:00,51238402.10169476,51238402.10169476,6791184.0 
 01/01  13:00:00,51225215.94133289,51225215.94133289,6791184.0 
 01/01  14:00:00,51225215.94133289,51225215.94133289,6791184.0 
 01/01  15:00:00,51243152.26273751,51243152.26273751,6791184.0 
 01/01  16:00:00,51388364.9474128,51388364.9474128,6791184.0 
 01/01  17:00:00,59140619.33795165,59140619.33795166,6791184.0 
 01/01  18:00:00,72551231.83277507,72551231.83277507,6791184.0 
 01/01  19:00:00,58318671.4242602,58318671.4242602,6791184.0 
 01/01  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  24:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/02  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  07:00:00,117863293.98401395,117863293.98401395,9912148.300147305 
 01/02  08:00:00,244269413.58783213,244269413.58783213,8323392.746825068 
 01/02  09:00:00,390191004.39124438,390191004.3912443,6791184.0 
 01/02  10:00:00,352015775.28269627,352015775.2826962,6791184.0 
 01/02  11:00:00,348012536.061939,348012536.061939,6791184.0 
 01/02  12:00:00,357516311.04113009,357516311.04113009,11367862.331276153 
 01/02  13:00:00,357209563.5335032,357209563.5335032,25841436.26225585 
 01/02  14:00:00,361016219.9909636,361016219.9909636,25620224.990911746 
 01/02  15:00:00,347883782.4519221,347883782.4519222,15519373.093254256 
 01/02  16:00:00,349874818.1366427,349874818.13664266,15487365.70901943 
 01/02  17:00:00,391880196.3161021,391880196.3161021,20388020.38463866 
 01/02  18:00:00,302104572.32976487,302104572.32976487,11927089.258343418 
 01/02  19:00:00,167989013.78780253,167989013.78780253,17231297.27654911 
 01/02  20:00:00,151450400.9479767,151450400.9479767,30476811.07856797 
 01/02  21:00:00,131437495.95032926,131437495.95032922,46315669.576124209 
 01/02  22:00:00,129457717.82978082,129457717.82978079,46342942.08815342 
 01/02  23:00:00,90323952.76734039,90323952.76734039,6791184.0 
 01/02  24:00:00,78718034.42393798,78718034.42393798,6791184.0 
 01/03  01:00:00,59209304.021005768,59209304.021005768,6791184.0 
 01/03  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  07:00:00,120644192.85067593,120644192.8506759,64335354.52975703 
 01/03  08:00:00,224192442.95594243,224192442.9559424,58451785.04276702 
 01/03  09:00:00,390200950.16651156,390200950.16651156,20376755.883816456 
 01/03  10:00:00,353938816.5261592,353938816.52615919,6791184.0 
 01/03  11:00:00,350145205.45602878,350145205.4560287,6791184.0 
