Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,9.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,11.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,12.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  12:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,11.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,9.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,9.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,9.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,10.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,11.0,3061517.423146924,0.0,4883015.5062560089,0.0,21163509.2528894,0.0 
 01/02  08:00:00,11.0,20067380.253724278,0.0,12816718.263225049,0.0,44439660.774889308,0.0 
 01/02  09:00:00,12.166666666666666,6576889.512505211,0.0,2592127.645868405,0.0,6706445.823704036,0.0 
 01/02  10:00:00,13.0,4044451.2851084007,0.0,2443038.4578941084,0.0,2468807.9144792559,0.0 
 01/02  11:00:00,14.166666666666666,3854970.8342089385,3404304.4975524658,2655227.578860899,2445000.014935608,2599468.450537658,2438259.812483719 
 01/02  12:00:00,14.416666666666666,4480208.749030535,4463545.331165167,3296293.1945572618,3274508.0999495179,2969921.0723242347,3060485.453045127 
 01/02  13:00:00,14.0,4648883.217270395,0.0,3166682.947626299,0.0,3127106.0015953828,0.0 
 01/02  14:00:00,14.0,5097287.262544456,0.0,3488138.525238358,0.0,3224543.5251395876,0.0 
 01/02  15:00:00,13.416666666666666,4804455.793971083,0.0,3266448.273738346,0.0,3206635.346959332,0.0 
 01/02  16:00:00,13.0,4887003.419827636,0.0,3327047.0995575247,0.0,3044382.2605450928,0.0 
 01/02  17:00:00,11.833333333333334,5523199.654631035,0.0,2729076.37224234,0.0,2589254.493700999,0.0 
 01/02  18:00:00,9.833333333333334,17599768.88155198,0.0,7280482.400127301,0.0,7367622.4247147119,0.0 
 01/02  19:00:00,9.0,9238718.183378835,744702.7290115486,10408007.322267309,0.0,11712325.007426167,0.0 
