Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,46359074.93593144,46359074.93593143,6791184.0 
 01/01  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  06:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  07:00:00,62835664.11785701,62835664.11785701,6791184.0 
 01/01  08:00:00,46641429.03377286,46641429.03377286,6791184.0 
 01/01  09:00:00,46320927.947663698,46320927.947663698,6791184.0 
 01/01  10:00:00,46288812.51597283,46288812.51597283,6791184.0 
 01/01  11:00:00,46333177.971896018,46333177.97189601,6791184.0 
 01/01  12:00:00,46294868.38195652,46294868.38195651,6791184.0 
 01/01  13:00:00,46288812.51597283,46288812.51597283,6791184.0 
 01/01  14:00:00,46288812.51597283,46288812.51597283,6791184.0 
 01/01  15:00:00,46297049.95146436,46297049.951464358,6791184.0 
 01/01  16:00:00,46363740.30021446,46363740.30021446,6791184.0 
 01/01  17:00:00,53321942.22249201,53321942.22249201,6791184.0 
 01/01  18:00:00,66276703.53612528,66276703.53612528,6791184.0 
 01/01  19:00:00,57105773.81922845,57105773.81922844,6791184.0 
 01/01  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  24:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/02  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  07:00:00,102260573.54914749,102260573.54914749,16765126.867798359 
 01/02  08:00:00,194923276.27221684,194923276.27221684,15574128.540934235 
 01/02  09:00:00,298556918.5009955,298556918.50099548,8053834.62149177 
 01/02  10:00:00,261478917.95200277,261478917.9520027,6791184.0 
 01/02  11:00:00,257010288.70320357,257010288.70320357,6791184.0 
 01/02  12:00:00,266329473.24738959,266329473.24738956,11367889.301236343 
 01/02  13:00:00,266482595.91271986,266482595.91271983,25841479.469324545 
 01/02  14:00:00,270135930.77257826,270135930.77257826,25620690.123423928 
 01/02  15:00:00,256836150.69913636,256836150.69913633,15518670.300776598 
 01/02  16:00:00,257661247.51879854,257661247.5187985,15487565.449794196 
 01/02  17:00:00,285744291.44542548,285744291.4454254,20388130.861886484 
 01/02  18:00:00,236677567.00223578,236677567.00223575,23153717.449339805 
 01/02  19:00:00,129331873.05994855,129331873.05994857,39451452.559779319 
 01/02  20:00:00,113926383.26467364,113926383.26467365,51266565.05057907 
 01/02  21:00:00,106584303.72641552,106584303.72641552,69144366.89786546 
 01/02  22:00:00,104690328.47616224,104690328.47616226,68398357.45742244 
 01/02  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/02  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/03  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 01/03  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  07:00:00,107060831.80630924,107060831.80630926,92942511.55871408 
 01/03  08:00:00,185807527.36058299,185807527.360583,81942585.74267845 
 01/03  09:00:00,299434250.9279728,299434250.9279728,29953275.637119377 
 01/03  10:00:00,262893059.32607348,262893059.32607348,7526524.318975408 
