Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,9.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,11.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,12.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  12:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,11.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,9.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,9.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,9.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,10.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,11.0,2981403.9133656148,0.0,5076828.737030471,0.0,25044953.20552369,0.0 
 01/02  08:00:00,11.0,21943119.337850088,0.0,16010998.249726713,0.0,50966440.169193688,0.0 
 01/02  09:00:00,12.166666666666666,6484881.4223576229,0.0,2622995.1585285568,0.0,8649986.46894056,0.0 
 01/02  10:00:00,13.0,3929927.7726556269,0.0,2439151.6941559158,0.0,2793382.375056375,0.0 
 01/02  11:00:00,14.166666666666666,3728153.6115997235,3310715.9658002324,2615340.9320839948,2419687.8127493166,2583916.590060244,2434904.161593982 
 01/02  12:00:00,14.416666666666666,4295139.899422727,4303610.456404383,3253536.8020320886,3228622.3225655138,2944417.4830343716,3043205.3713841855 
 01/02  13:00:00,14.0,4482364.5092882099,0.0,3140107.7746789685,0.0,3109504.9456289398,0.0 
 01/02  14:00:00,14.0,4874707.045512361,0.0,3471069.9213227799,0.0,3214977.3365895908,0.0 
 01/02  15:00:00,13.416666666666666,4594896.208255062,0.0,3219976.6428376378,0.0,3183448.912147737,0.0 
 01/02  16:00:00,13.0,4659310.366189056,0.0,3282842.892561119,0.0,3019746.885381309,0.0 
 01/02  17:00:00,11.833333333333334,5292554.570836225,0.0,2707679.980212994,0.0,2588195.55861888,0.0 
 01/02  18:00:00,9.833333333333334,17563199.711491884,0.0,7322489.958096065,0.0,7097677.211598596,0.0 
 01/02  19:00:00,9.0,9142766.759158118,657382.1485780487,10466151.575445567,0.0,12087650.195571987,0.0 
