Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,46359074.93593144,46359074.93593143,6791184.0 
 01/01  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  06:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/01  07:00:00,62835664.11785701,62835664.11785701,6791184.0 
 01/01  08:00:00,46641429.03377286,46641429.03377286,6791184.0 
 01/01  09:00:00,46320927.947663698,46320927.947663698,6791184.0 
 01/01  10:00:00,46288812.51597283,46288812.51597283,6791184.0 
 01/01  11:00:00,46333177.971896018,46333177.97189601,6791184.0 
 01/01  12:00:00,46294868.38195652,46294868.38195651,6791184.0 
 01/01  13:00:00,46288812.51597283,46288812.51597283,6791184.0 
 01/01  14:00:00,46288812.51597283,46288812.51597283,6791184.0 
 01/01  15:00:00,46297049.95146436,46297049.951464358,6791184.0 
 01/01  16:00:00,46363740.30021446,46363740.30021446,6791184.0 
 01/01  17:00:00,53321942.22249201,53321942.22249201,6791184.0 
 01/01  18:00:00,66276703.53612528,66276703.53612528,6791184.0 
 01/01  19:00:00,57105773.81922845,57105773.81922844,6791184.0 
 01/01  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/01  24:00:00,48904615.70955593,48904615.70955593,6791184.0 
 01/02  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/02  07:00:00,105949265.95942687,105949265.95942684,17143461.760821087 
 01/02  08:00:00,206305593.05254305,206305593.05254299,15838920.74414976 
 01/02  09:00:00,300428598.78655835,300428598.7865582,8067068.920487126 
 01/02  10:00:00,261685082.13638894,261685082.13638888,6791184.0 
 01/02  11:00:00,256793992.68375809,256793992.68375806,6791184.0 
 01/02  12:00:00,266013479.69952018,266013479.6995201,11367864.31038042 
 01/02  13:00:00,266271900.9758239,266271900.97582386,25841439.456366078 
 01/02  14:00:00,269886715.7630806,269886715.7630806,25620640.41258352 
 01/02  15:00:00,256556933.04770804,256556933.04770798,15518495.208334256 
 01/02  16:00:00,257364714.88299973,257364714.88299973,15487364.420394564 
 01/02  17:00:00,285491191.03451916,285491191.0345192,20388019.77498442 
 01/02  18:00:00,236667929.1981082,236667929.19810815,22838889.368780614 
 01/02  19:00:00,129987964.0706875,129987964.07068748,39029891.01613834 
 01/02  20:00:00,115152629.60503455,115152629.60503453,50819174.77814947 
 01/02  21:00:00,109397537.12167037,109397537.12167037,68745657.66592643 
 01/02  22:00:00,108776721.33095658,108776721.33095658,67752314.36298701 
 01/02  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/02  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/03  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 01/03  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/03  07:00:00,111114243.20463266,111114243.20463266,92708334.61397961 
 01/03  08:00:00,196744218.14102999,196744218.14102996,82068373.92433225 
 01/03  09:00:00,300630223.195436,300630223.19543597,30142604.700976015 
 01/03  10:00:00,262817238.4576549,262817238.45765484,7487531.053873889 
